country,year,suicide,internet,population,foodsupply
Afghanistan,1990,703.0,0.0,12400000.0,2310.0
Afghanistan,1991,754.0,0.0,13300000.0,2040.0
Afghanistan,1992,820.0,0.0,14500000.0,1890.0
Afghanistan,1993,894.0,0.0,15800000.0,1910.0
Afghanistan,1994,977.0,0.0,17100000.0,1820.0
Afghanistan,1995,1050.0,0.0,18100000.0,1840.0
Afghanistan,1996,1100.0,0.0,18900000.0,1840.0
Afghanistan,1997,1130.0,0.0,19400000.0,1870.0
Afghanistan,1998,1170.0,0.0,19700000.0,1900.0
Afghanistan,1999,1200.0,0.0,20200000.0,1850.0
Afghanistan,2000,1250.0,0.0,20800000.0,1790.0
Afghanistan,2001,1300.0,0.00472,21600000.0,1740.0
Afghanistan,2002,1360.0,0.00456,22600000.0,1830.0
Afghanistan,2003,1450.0,0.0879,23700000.0,1890.0
Afghanistan,2004,1530.0,0.106,24700000.0,1970.0
Afghanistan,2005,1600.0,1.22,25700000.0,1950.0
Afghanistan,2006,1650.0,2.11,26400000.0,1970.0
Afghanistan,2007,1680.0,1.9,27100000.0,2050.0
Afghanistan,2008,1710.0,1.84,27700000.0,2040.0
Afghanistan,2009,1750.0,3.55,28400000.0,2080.0
Afghanistan,2010,1760.0,4.0,29200000.0,2100.0
Afghanistan,2011,1810.0,5.0,30100000.0,2110.0
Afghanistan,2012,1870.0,5.45,31200000.0,2100.0
Afghanistan,2013,1990.0,5.9,32300000.0,2090.0
Albania,1990,127.0,0.0,3290000.0,2570.0
Albania,1991,130.0,0.0,3280000.0,2570.0
Albania,1992,131.0,0.0,3250000.0,2650.0
Albania,1993,135.0,0.0,3200000.0,2800.0
Albania,1994,136.0,0.0,3150000.0,2880.0
Albania,1995,142.0,0.0112,3110000.0,2720.0
Albania,1996,150.0,0.0322,3100000.0,2840.0
Albania,1997,162.0,0.0486,3100000.0,2730.0
Albania,1998,170.0,0.065,3110000.0,2730.0
Albania,1999,175.0,0.0814,3120000.0,2800.0
Albania,2000,175.0,0.114,3130000.0,2730.0
Albania,2001,184.0,0.326,3130000.0,2800.0
Albania,2002,191.0,0.39,3130000.0,2860.0
Albania,2003,196.0,0.972,3120000.0,2770.0
Albania,2004,201.0,2.42,3100000.0,2790.0
Albania,2005,204.0,6.04,3090000.0,2870.0
Albania,2006,204.0,9.61,3060000.0,2860.0
Albania,2007,204.0,15.0,3030000.0,2860.0
Albania,2008,205.0,23.9,3000000.0,2950.0
Albania,2009,201.0,41.2,2970000.0,2990.0
Albania,2010,195.0,45.0,2950000.0,3080.0
Albania,2011,191.0,49.0,2930000.0,3130.0
Albania,2012,188.0,54.7,2910000.0,3180.0
Albania,2013,186.0,57.2,2900000.0,3190.0
Algeria,1990,806.0,0.0,25800000.0,2750.0
Algeria,1991,822.0,0.0,26400000.0,2730.0
Algeria,1992,843.0,0.0,27000000.0,2870.0
Algeria,1993,866.0,0.0,27600000.0,2870.0
Algeria,1994,888.0,0.00036,28200000.0,2760.0
Algeria,1995,912.0,0.0017699999999999999,28800000.0,2790.0
Algeria,1996,941.0,0.0017399999999999998,29300000.0,2780.0
Algeria,1997,983.0,0.0103,29700000.0,2730.0
Algeria,1998,1020.0,0.0202,30200000.0,2790.0
Algeria,1999,1060.0,0.2,30600000.0,2840.0
Algeria,2000,1080.0,0.49200000000000005,31000000.0,2810.0
Algeria,2001,1110.0,0.6459999999999999,31500000.0,2890.0
Algeria,2002,1140.0,1.59,31900000.0,2930.0
Algeria,2003,1170.0,2.2,32300000.0,2970.0
Algeria,2004,1190.0,4.63,32700000.0,2990.0
Algeria,2005,1210.0,5.84,33100000.0,2960.0
Algeria,2006,1220.0,7.38,33600000.0,3050.0
Algeria,2007,1240.0,9.45,34200000.0,3040.0
Algeria,2008,1250.0,10.2,34700000.0,3050.0
Algeria,2009,1270.0,11.2,35300000.0,3110.0
Algeria,2010,1290.0,12.5,36000000.0,3140.0
Algeria,2011,1310.0,14.9,36700000.0,3220.0
Algeria,2012,1340.0,18.2,37400000.0,3270.0
